epoch,lr,train_loss,loss_cls,loss_bbox,loss_giou,loss_dfl,val_loss,val_mAP50,val_mAP5095,val_AP_small,val_AP_medium,val_AP_large,val_precision,val_recall,AP_crack_longitudinal,AP_crack_transverse,AP_crack_alligator,AP_pothole,AP_crack_structural,AP_litter,AP_manhole_damaged,AP_manhole_missing,epoch_time_s,peak_vram_gb
1,0.0033356659668766038,27.082532998813125,38.188837790839564,0.5018013676744478,0.0,2.816402591300895,28.1372590889365,0.0006597884596955473,0.0001355673247411854,0.0,0.00020535140693924428,0.0001856533802998835,0.0033270646759720303,0.12389091657596127,3.3905380320579733e-06,0.0,0.0002293088075996933,1.179957263404102e-06,2.110578335829485e-05,0.0005644487378347034,0.00020202770688045401,6.307706696087549e-05,859.8,2.578
2,0.006668999300209937,17.686805819197083,19.497571363242212,0.5006306746816869,0.0,2.7888600587678005,17.295239804154736,0.00031432251999086023,6.792035675480557e-05,0.0,0.0006189091786537142,8.764698234670796e-05,0.004536850001873842,0.05538345028225416,2.918121255690803e-06,0.0,0.00015098067710771074,2.5065797719012406e-05,1.2215528017574546e-05,8.119577198377389e-05,0.00020999554726800634,6.099141068667586e-05,575.6,2.578
3,0.01,13.297554298411557,10.982906400448297,0.4951845801443883,0.0,2.7281445035407224,13.280676696260096,0.00020427081311913034,5.11042722557817e-05,0.0,8.482991156258484e-06,5.822899714802964e-05,0.003223874785000743,0.02078359718369418,4.8391935967790325e-06,0.0,5.922294182112018e-05,0.0,1.2377617531636505e-05,5.060809380302688e-05,0.00017013937948807308,0.00011164695180561788,534.3,2.578
4,0.009992483506344916,11.592785988094258,8.038592774355804,0.4823449408157127,0.0,2.6372683638872343,11.833356226904918,0.004688989856742429,0.0018255733827946146,0.0,0.0003049506347250779,0.0018460415950196803,0.03154379165059281,0.04962468726558088,0.0,0.0,0.00016530390508472621,1.725123693325256e-05,1.364355443985974e-05,7.875356014806743e-05,0.0002817015080051442,0.014047933297745866,547.4,2.578
5,0.00996995685272385,10.670750903282405,6.883464703032652,0.45857347498997847,0.0,2.5264783284312116,10.964344443305064,0.012576616896586472,0.0051223688332782185,0.0,0.001472719534919453,0.005063005826926388,0.04048742272790688,0.07791295824408517,0.0,0.0,3.6409750681096436e-05,0.0,1.8445974516902495e-05,0.004491772183086557,0.0036442028729634485,0.03278811988497775,546.1,2.578
6,0.009932488451843476,10.093147292847897,6.3841901724784,0.4359619963661285,0.0,2.4208914917444666,10.480717665462171,0.02880045544068612,0.0107766130011647,0.0028052805280528053,0.01005658897054768,0.010845583543564205,0.10315031986061,0.1231341152539725,0.0,0.0,0.007066464087384133,0.0,0.0032692390636170163,0.022793928318086357,0.01477891492959101,0.038304357610639085,551.2,2.578
7,0.009880192094005806,9.553287584519703,5.973524689924642,0.4113228990532786,0.0,2.32106900331939,9.991221922535008,0.043341333466072295,0.016078012102892746,0.005448162410653348,0.01856378518161811,0.01564355968082199,0.12163216927094184,0.16528817384932276,0.0,0.0,0.01299842754079918,0.0,0.004494126423010429,0.042904997987040894,0.04075251997954725,0.027474024892744208,602.2,2.578
8,0.00981322660153079,9.133917964364032,5.716016047396303,0.39104355720475975,0.0,2.228722182247837,9.64599471173044,0.06063371336620732,0.025092079201317948,0.005963171902424982,0.028961770537544982,0.02255481934406154,0.16663236190004607,0.17343179463656427,0.0,0.0,0.018520878956271192,0.0,0.013163975545899946,0.07347723489446563,0.06344326773784288,0.03213127647606389,560.1,2.578
9,0.00973179534641814,8.751004440956303,5.4721010100849865,0.37120818809206624,0.0,2.153928336269627,9.323361176959539,0.07535185789311862,0.03282621304098254,0.007704346301388727,0.03794703415202445,0.02992386194328682,0.17592336224682775,0.1898745519312004,0.0,0.0,0.02045114726441804,2.09175847162181e-05,0.013778222366883362,0.09511194112168142,0.0983559154055314,0.03489156058462989,567.0,2.578
10,0.009636145632713268,8.490803653498142,5.313797440705724,0.35884843398592037,0.0,2.095027783269061,9.16121812594139,0.09107180284031949,0.04074701930495925,0.009514416182297498,0.0425877211512913,0.03808664539156034,0.20273104086043975,0.19640390475851852,0.0,0.0,0.023306987150935536,3.263176883365886e-05,0.015466387061005702,0.11467672506987771,0.12568482866400266,0.04680859472501872,609.0,2.578
11,0.009526567945453009,8.252232415097172,5.168692363735009,0.34799757637370293,0.0,2.038602943350336,9.033686388953257,0.10306044613034512,0.046522197042206906,0.010676334952875796,0.0460897418854423,0.04341091373868957,0.2252314919949206,0.2155984826656307,0.0,0.00039175455342459106,0.02912094739456521,2.9264010144856848e-05,0.016701994858450697,0.13094739269982503,0.1480299389575644,0.04695628386368048,552.4,2.578
12,0.00940339506847212,8.067524417119063,5.079018123505247,0.3380829972391616,0.0,1.9949285863078166,8.943721827814134,0.1134075666050681,0.0516583001867168,0.012221697564419595,0.051110315028735996,0.04825126574928829,0.23669191424608654,0.2386626099469949,0.0,0.0018258396022076883,0.03461386513586747,4.768285943410139e-05,0.01992536940697006,0.14893814932528754,0.16218042165661686,0.04573507350735073,582.5,2.578
13,0.009267001073749719,7.911983144959009,4.975312117849554,0.331463054562883,0.0,1.958902787127805,8.920197018122268,0.12113282768238143,0.05591562948642756,0.01272204507390215,0.0532020642714904,0.052483573360505534,0.2480195886680226,0.25324756370101587,0.0,0.002127031119311118,0.038606238659367444,4.7891308245512685e-05,0.021491483409965973,0.1628136326993346,0.17560066502157506,0.046638093673620755,585.8,2.578
14,0.009117800185364964,7.834984107648183,5.04670375923413,0.3239381810411696,0.0,1.9213972459563515,8.948434750508454,0.1236789476561523,0.058264315771688266,0.013976054233179741,0.05501776367203444,0.0550940359118585,0.2607333936689097,0.2534752592920091,0.0,0.0030812174456904752,0.04106790326231781,4.073972545791058e-05,0.021407855383753078,0.17704308846881464,0.18512152952537886,0.038352192362093356,1092.9,2.578
15,0.00895624552151215,7.641166922593968,4.833877651819906,0.3183254337106408,0.0,1.8911915531185142,9.005493021819552,0.12407814560018786,0.05887365009311421,0.014961042519813469,0.05613650101078982,0.056739905275672575,0.26041432486307625,0.2506221852527027,0.0,0.0033930332110078862,0.04332418540803886,3.6714766715374134e-05,0.021489328224059367,0.18805312426054027,0.18593279601552318,0.028760018859028756,1212.4,2.578
